lang,text
fra,Je parie que vous ne saviez pas ça.
eng,Sami is talking to a customer.
spa,"La fiesta terminó temprano, pero Vladimir se divirtió."
ita,Il loro colore preferito non è l'indaco.
deu,Ich bin ein japanischer Literat.
eng,He renovates old houses in Spain.
deu,Ich gehe mit Opa angeln.
deu,Ich werde zum Mond fliegen.
deu,Das Meer kann tief sein.
ita,Ci disse della sua giornata.
ita,Lo so che vuoi ancora essere con me.
deu,Maria und Tom gehen getrennte Wege.
spa,Siento haberla herido.
eng,Carry these tangerines to Igoufaf.
eng,Somebody wants to kill me.
eng,I don't want to eat lunch now.
eng,The damage of the disaster has been enormous.
fra,Tom demanda plus de café.
spa,Cuando le saludé me ignoró.
deu,Die Übersetzung ist originalgetreu.
ita,Non sapevamo niente.
eng,Jugurtha conducted a war against the Romans.
ita,Ha un enorme appetito.
eng,I didn't realize Tom was having trouble breathing.
ita,Mark si è laureato ad Harvard nel 1991.
ita,Tom iniziò a confessare.
deu,Die Anzahl der in der Stadt fahrenden Autos hat sich erhöht.
eng,What time are you leaving tomorrow morning?
eng,Sami's doctor came in.
fra,Le roi est mort. Longue vie au roi !
ita,Ti piace andare ai concerti?
ita,Mia sorella soffre di un forte raffreddore.
deu,"Es besteht die Möglichkeit, dass Tom hier irgendwo im Park ist."
eng,You'll recognize it when you see it.
fra,Où est leur voiture rouge ?
eng,Are you sure Tom isn't here?
ita,Mary sta aspettando che la aiuti.
ita,Dove posso comprare un reggiseno?
spa,Me siento incómodo en esta silla.
deu,Ich will weiter Französisch lernen.
fra,Mon mensonge me pesait sur la conscience.
deu,Tom ist gestern nach Australien abgereist.
fra,Tom devrait probablement dire à Marie qu'il est désolé.
deu,"Ich glaube, Tom ist verliebt."
spa,Te extrañé mucho.
spa,Tom probablemente sabe la respuesta.
ita,Mary ha temperato la sua matita.
fra,À eux.
ita,Tom fu ucciso con una chiave per lo smontaggio dello pneumatico.
deu,Es hat drei Tage durchgeregnet.
spa,Tom necesita altiro la plata.
ita,Abbiamo fissato il prezzo a quindici dollari.
ita,"Siete veramente pazienti, vero?"
